date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,36.96,37.15,36.81,36.87,956234,0.0,0.0
2024-09-03 00:00:00+05:30,36.83,37.18,36.83,36.93,771764,0.0,0.0
2024-09-04 00:00:00+05:30,36.76,37.64,36.7,36.9,1234763,0.0,0.0
2024-09-05 00:00:00+05:30,36.99,38.06,36.99,37.38,706994,0.0,0.0
2024-09-06 00:00:00+05:30,37.41,37.6,36.8,36.88,537728,0.0,0.0
2024-09-09 00:00:00+05:30,36.88,36.92,36.28,36.39,1144745,0.0,0.0
2024-09-10 00:00:00+05:30,36.44,37.05,36.44,36.94,814075,0.0,0.0
2024-09-11 00:00:00+05:30,36.95,37.33,36.5,36.52,1014337,0.0,0.0
2024-09-12 00:00:00+05:30,36.76,36.93,36.4,36.51,926736,0.0,0.0
2024-09-13 00:00:00+05:30,36.54,37.09,36.54,36.65,896370,0.0,0.0
2024-09-16 00:00:00+05:30,36.86,36.92,36.59,36.63,1006939,0.0,0.0
2024-09-17 00:00:00+05:30,36.66,36.8,36.39,36.48,1023651,0.0,0.0
2024-09-18 00:00:00+05:30,36.43,36.51,36.1,36.18,1169515,0.0,0.0
2024-09-19 00:00:00+05:30,36.24,36.41,35.58,35.73,856280,0.0,0.0
