date,open,high,low,close,volume,dividends,stock_splits
2024-04-01 00:00:00+05:30,44.44,45.26,43.18,45.14,29651,0.0,0.0
2024-04-02 00:00:00+05:30,45.49,45.49,43.05,43.76,25728,0.0,0.0
2024-04-03 00:00:00+05:30,44.25,44.25,42.16,43.28,11880,0.0,0.0
2024-04-04 00:00:00+05:30,43.95,44.14,42.14,44.02,20451,0.0,0.0
2024-04-05 00:00:00+05:30,44.0,44.0,42.12,43.67,16438,0.0,0.0
2024-04-08 00:00:00+05:30,44.21,44.21,42.0,43.79,10086,0.0,0.0
2024-04-09 00:00:00+05:30,43.79,43.84,42.23,43.14,9205,0.0,0.0
2024-04-10 00:00:00+05:30,44.0,44.0,42.02,42.3,10429,0.0,0.0
2024-04-12 00:00:00+05:30,43.7,43.7,41.29,42.48,10089,0.0,0.0
2024-04-15 00:00:00+05:30,41.5,42.48,40.05,42.17,7212,0.0,0.0
2024-04-16 00:00:00+05:30,42.48,43.48,41.0,41.88,14638,0.0,0.0
2024-04-18 00:00:00+05:30,43.84,43.84,40.61,42.62,13326,0.0,0.0
2024-04-19 00:00:00+05:30,43.88,43.88,41.0,42.52,7145,0.0,0.0
2024-04-22 00:00:00+05:30,43.53,43.53,41.25,42.2,17851,0.0,0.0
2024-04-23 00:00:00+05:30,43.28,43.28,39.06,42.21,2238,0.0,0.0
2024-04-24 00:00:00+05:30,42.9,42.9,40.2,42.1,17011,0.0,0.0
2024-04-25 00:00:00+05:30,42.1,42.84,40.55,42.82,10640,0.0,0.0
2024-04-26 00:00:00+05:30,42.8,42.8,41.1,42.12,12768,0.0,0.0
2024-04-29 00:00:00+05:30,41.26,42.47,41.0,41.85,16902,0.0,0.0
