username,date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
ptprashanttripathi,2025-04-02 00:00:00,MIRAE ASSET TAX SAVER FUND - D,4999.73,BMF,MF,F769K01DM9,MF,0,,,,Buy,100.19,49.9
ptprashanttripathi,2025-04-02 00:00:00,NIFTY,2205,FON,FO,NIFTY,European Call,23550,03-04-2025,3251801,10:52:14,Buy,150,14.7
ptprashanttripathi,2025-04-02 00:00:00,SBI Magnum Tax Gain Scheme - D,4999.79,BMF,MF,F200K01UM9,MF,0,,,,Buy,11.39,439.12
ptprashanttripathi,2025-04-03 00:00:00,NIFTY,150,FON,FO,NIFTY,European Call,23550,03-04-2025,5929827,12:04:34,Sell,150,1
ptprashanttripathi,2025-04-22 00:00:00,NIFTY,27405,FON,FO,NIFTY,European Call,24150,24-04-2025,3315756,14:48:09,Sell,300,91.35
ptprashanttripathi,2025-04-22 00:00:00,NIFTY,31500,FON,FO,NIFTY,European Call,24150,24-04-2025,3270573,14:45:20,Buy,300,105
ptprashanttripathi,2025-04-28 00:00:00,NIFTY,19162.5,FON,FO,NIFTY,European Call,24250,30-04-2025,3986685,14:47:57,Sell,150,127.75
ptprashanttripathi,2025-04-28 00:00:00,NIFTY,25751.25,FON,FO,NIFTY,European Call,24200,08-05-2025,4182675,14:24:45,Sell,75,343.35
ptprashanttripathi,2025-04-28 00:00:00,NIFTY,25755,FON,FO,NIFTY,European Call,24200,08-05-2025,4182674,14:24:45,Sell,75,343.4
ptprashanttripathi,2025-04-28 00:00:00,NIFTY,40500,FON,FO,NIFTY,European Call,24250,30-04-2025,3937128,14:44:08,Buy,300,135
ptprashanttripathi,2025-04-28 00:00:00,NIFTY,45000,FON,FO,NIFTY,European Call,24200,08-05-2025,2096833,10:29:11,Buy,150,300
ptprashanttripathi,2025-04-28 00:00:00,NIFTY,9581.25,FON,FO,NIFTY,European Call,24250,30-04-2025,3986684,14:47:57,Sell,75,127.75
ptprashanttripathi,2025-04-28 00:00:00,NIFTY,9581.25,FON,FO,NIFTY,European Call,24250,30-04-2025,3986686,14:47:57,Sell,75,127.75
ptprashanttripathi,2025-04-29 00:00:00,NIFTY,12600,FON,FO,NIFTY,European Call,24350,30-04-2025,1924211,10:14:39,Buy,150,84
ptprashanttripathi,2025-04-29 00:00:00,NIFTY,18900,FON,FO,NIFTY,European Call,24350,30-04-2025,1924210,10:14:39,Buy,225,84
ptprashanttripathi,2025-04-29 00:00:00,NIFTY,4935,FON,FO,NIFTY,European Call,24350,30-04-2025,2358376,10:39:20,Buy,75,65.8
