scrip_name,symbol,exchange,segment,datetime,side,quantity,price,amount
TATA POWER,TATAPOWER,BSE,EQ,2022-02-03 10:31:23,BUY,1.0,250.8,250.8
TATA POWER,TATAPOWER,BSE,EQ,2022-12-07 10:48:34,BUY,2.0,226.8,453.6
TCS LTD,TCS,BSE,EQ,2022-12-05 11:19:21,BUY,1.0,3415.9,3415.9
ADANI PORTS LTD,ADANIPORTS,NSE,EQ,2023-06-09 10:28:18,BUY,1.0,737.05,737.05
ADANI PORTS LTD,ADANIPORTS,NSE,EQ,2023-10-13 11:08:46,BUY,2.0,808.25,1616.5
ADANI PORTS LTD,ADANIPORTS,NSE,EQ,2024-04-08 09:54:28,BUY,5.0,1353.0,6765.0
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2023-12-18 09:15:03,BUY,136.0,89.03,12108.08
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2023-12-18 09:15:04,BUY,15.0,89.03,1335.45
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2023-12-18 09:15:05,BUY,1.0,89.03,89.03
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2023-12-18 09:15:15,BUY,73.0,89.03,6499.19
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2023-12-28 14:34:20,BUY,5.0,91.54,457.7
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2024-03-07 11:11:18,BUY,10.0,104.91,1049.1
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2024-04-08 09:52:30,BUY,50.0,104.14,5207.0
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2024-05-29 11:56:05,BUY,2.0,109.95,219.9
ICICIPRAMC - BHARATIWIN,ICICIB22,NSE,EQ,2024-08-02 10:12:01,BUY,8.0,119.35,954.8
VODAFONE IDEA LTD,IDEA,NSE,EQ,2024-01-01 11:28:14,BUY,4.0,17.3,69.2
INDIAN RAILWAY FINANCE,IRFC,NSE,EQ,2024-03-07 11:14:59,BUY,1.0,142.8,142.8
INDIAN RAILWAY FINANCE,IRFC,NSE,EQ,2024-04-08 09:55:00,BUY,15.0,148.9,2233.5
INDIAN RAILWAY FINANCE,IRFC,NSE,EQ,2024-04-08 09:56:53,BUY,25.0,149.1,3727.5
INDIAN RAILWAY FINANCE,IRFC,NSE,EQ,2024-04-09 11:01:32,BUY,2.0,147.95,295.9
I T C LTD,ITC,NSE,EQ,2024-04-12 10:13:19,BUY,100.0,431.0,43100.0
I T C LTD,ITC,NSE,EQ,2024-04-12 10:21:49,BUY,120.0,430.9,51708.0
I T C LTD,ITC,NSE,EQ,2024-04-15 11:22:52,BUY,12.0,426.2,5114.4
I T C LTD,ITC,NSE,EQ,2024-06-28 09:25:05,BUY,6.0,424.6,2547.6
