username,exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage,brokerage
deepshikhapatel,NSE,EQ,ADANIPORTS,ADANI PORTS LTD,LONG,10.0,2022-04-25 10:37:02,BUY,864.3,8643.0,2022-09-20 14:28:11,SELL,976.85,9768.5,1125.5,13.02,30.59
deepshikhapatel,NSE,EQ,ADANIPORTS,ADANI PORTS LTD,LONG,10.0,2022-04-25 10:37:02,BUY,864.3,8643.0,2022-09-20 14:28:11,SELL,976.9,9769.0,1126.0,13.03,30.59
deepshikhapatel,NSE,EQ,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES,LONG,15.0,2020-12-23 00:00:00,BUY,288.0,4320.0,2020-12-24 10:06:27,SELL,590.25,8853.75,4533.75,104.95,21.61
deepshikhapatel,NSE,EQ,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES,LONG,35.0,2020-12-23 00:00:00,BUY,288.0,10080.0,2020-12-24 10:06:27,SELL,590.2,20657.0,10577.0,104.93,50.41
deepshikhapatel,NSE,EQ,CARTRADE,CARTRADE TECH LIMITED,LONG,3.0,2021-08-17 00:00:00,BUY,1618.0,4854.0,2021-09-08 10:38:12,SELL,1485.5,4456.5,-397.5,-8.19,15.54
deepshikhapatel,NSE,EQ,CARTRADE,CARTRADE TECH LIMITED,LONG,6.0,2021-08-17 00:00:00,BUY,1618.0,9708.0,2021-09-08 10:38:12,SELL,1485.1,8910.6,-797.4,-8.21,31.08
deepshikhapatel,NSE,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,LONG,45.0,2020-09-16 00:00:00,BUY,166.0,7470.0,2020-09-17 10:01:32,SELL,383.25,17246.25,9776.25,130.87,40.44
deepshikhapatel,NSE,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,LONG,45.0,2020-09-16 00:00:00,BUY,166.0,7470.0,2020-09-17 10:06:04,SELL,367.1,16519.5,9049.5,121.14,39.29
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2019-11-27 15:43:41,BUY,34.98,34.98,2023-12-14 13:04:07,SELL,87.22,87.22,52.24,149.34,0.2
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2021-07-22 10:26:23,BUY,40.39,40.39,2023-12-14 13:04:07,SELL,87.22,87.22,46.83,115.94,0.21
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,2.0,2021-08-06 09:17:51,BUY,41.06,82.12,2023-12-14 13:04:07,SELL,87.22,174.44,92.32,112.42,0.42
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2022-04-04 11:45:15,BUY,49.88,49.88,2023-12-14 13:04:07,SELL,87.22,87.22,37.34,74.86,0.23
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,5.0,2022-04-04 11:45:15,BUY,49.83,249.15,2023-12-14 13:04:07,SELL,87.22,436.1,186.95,75.04,1.13
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,2.0,2022-04-25 10:37:54,BUY,50.1,100.2,2023-12-14 13:04:07,SELL,87.22,174.44,74.24,74.09,0.45
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2022-10-04 14:48:31,BUY,52.11,52.11,2023-12-14 13:04:07,SELL,87.22,87.22,35.11,67.38,0.23
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,2.0,2022-12-06 10:37:07,BUY,57.71,115.42,2023-12-14 13:04:07,SELL,87.17,174.34,58.92,51.05,0.48
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,5.0,2022-12-06 10:37:07,BUY,57.71,288.55,2023-12-14 13:04:07,SELL,87.22,436.1,147.55,51.13,1.2
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,35.0,2022-12-06 10:37:07,BUY,57.73,2020.55,2023-12-14 13:04:07,SELL,87.17,3050.95,1030.4,51.0,8.37
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,7.0,2023-05-23 15:11:42,BUY,62.82,439.74,2023-12-14 13:04:07,SELL,87.17,610.19,170.45,38.76,1.74
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,33.0,2023-05-23 15:11:42,BUY,62.82,2073.06,2023-12-14 13:04:07,SELL,87.18,2876.94,803.88,38.78,8.19
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,48.0,2023-05-24 11:04:39,BUY,63.03,3025.44,2023-12-14 13:04:07,SELL,87.18,4184.64,1159.2,38.32,11.93
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,2.0,2023-06-09 10:29:00,BUY,65.09,130.18,2023-12-14 13:04:07,SELL,87.18,174.36,44.18,33.94,0.5
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,25.0,2023-08-21 12:01:44,BUY,69.76,1744.0,2023-12-14 13:04:07,SELL,87.18,2179.5,435.5,24.97,6.5
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,60.0,2023-08-24 15:12:32,BUY,70.77,4246.2,2023-12-14 13:04:07,SELL,87.18,5230.8,984.6,23.19,15.71
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,15.0,2023-08-24 15:14:25,BUY,70.82,1062.3,2023-12-14 13:04:07,SELL,87.18,1307.7,245.4,23.1,3.93
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,55.0,2023-10-10 10:22:40,BUY,75.02,4126.1,2023-12-14 13:04:07,SELL,87.18,4794.9,668.8,16.21,14.81
deepshikhapatel,NSE,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,LONG,1.0,2023-10-13 11:09:42,BUY,75.94,75.94,2023-12-14 13:04:07,SELL,87.18,87.18,11.24,14.8,0.27
deepshikhapatel,NSE,EQ,SBIN,STATE BANK OF INDIA,LONG,1.0,2020-01-10 09:21:13,BUY,329.8,329.8,2020-07-17 10:48:57,SELL,185.9,185.9,-143.9,-43.63,0.87
deepshikhapatel,NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,1.0,2021-07-22 11:08:48,BUY,304.1,304.1,2023-05-23 09:07:53,SELL,522.5,522.5,218.4,71.82,1.36
deepshikhapatel,NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,6.0,2021-09-21 11:25:53,BUY,294.15,1764.9,2023-05-23 09:07:53,SELL,522.5,3135.0,1370.1,77.63,8.06
deepshikhapatel,NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,1.0,2022-01-07 11:21:15,BUY,486.0,486.0,2023-05-23 09:07:53,SELL,522.5,522.5,36.5,7.51,1.68
deepshikhapatel,NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,1.0,2022-02-08 15:05:08,BUY,493.2,493.2,2023-05-23 09:07:53,SELL,522.5,522.5,29.3,5.94,1.69
deepshikhapatel,NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,15.0,2022-04-04 11:44:15,BUY,448.45,6726.75,2023-05-23 09:07:53,SELL,522.5,7837.5,1110.75,16.51,24.18
deepshikhapatel,NSE,EQ,TATAMOTORS,TATA MOTORS,LONG,3.0,2022-12-05 11:20:05,BUY,430.3,1290.9,2023-05-23 09:07:53,SELL,522.5,1567.5,276.6,21.43,4.74
deepshikhapatel,NSE,EQ,TATAPOWER,TATA POWER,LONG,2.0,2022-01-12 10:16:38,BUY,237.8,475.6,2023-05-24 11:10:32,SELL,207.25,414.5,-61.1,-12.85,1.49
deepshikhapatel,NSE,EQ,TATAPOWER,TATA POWER,LONG,18.0,2022-01-12 10:16:38,BUY,237.85,4281.3,2023-05-24 11:10:32,SELL,207.25,3730.5,-550.8,-12.87,13.39
harshalk2022,NSE,EQ,AWL,ADANI WILMAR LIMITED,LONG,25.0,2022-02-07 00:00:00,BUY,230.0,5750.0,2022-02-10 15:26:49,SELL,386.25,9656.25,3906.25,67.93,25.37
harshalk2022,NSE,EQ,BANKBARODA,BANK OF BARODA,LONG,1.0,2021-10-28 00:00:00,BUY,100.2,100.2,2021-11-08 00:00:00,SELL,103.2,103.2,3.0,2.99,0.34
harshalk2022,NSE,EQ,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,LONG,5.0,2022-05-09 00:00:00,BUY,340.0,1700.0,2022-07-06 00:00:00,SELL,346.55,1732.75,32.75,1.93,5.72
harshalk2022,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,20.0,2021-12-30 00:00:00,BUY,6.17,123.4,2022-02-11 00:00:00,SELL,7.95,159.0,35.6,28.85,0.47
harshalk2022,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,210.0,2021-12-31 00:00:00,BUY,6.47,1358.7,2022-02-11 00:00:00,SELL,7.95,1669.5,310.8,22.87,5.02
harshalk2022,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,20.0,2022-01-03 00:00:00,BUY,6.79,135.8,2022-02-11 00:00:00,SELL,7.95,159.0,23.2,17.08,0.49
harshalk2022,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,25.0,2022-01-03 00:00:00,BUY,6.79,169.75,2022-03-17 00:00:00,SELL,12.83,320.75,151.0,88.95,0.81
harshalk2022,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,25.0,2022-01-03 00:00:00,BUY,6.79,169.75,2024-01-19 00:00:00,SELL,24.0,600.0,430.25,253.46,1.25
harshalk2022,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,10.0,2021-11-24 00:00:00,BUY,7.35,73.5,2021-12-27 00:00:00,SELL,10.75,107.5,34.0,46.26,0.3
harshalk2022,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,14.0,2021-11-25 00:00:00,BUY,8.65,121.1,2021-12-27 00:00:00,SELL,10.75,150.5,29.4,24.28,0.45
harshalk2022,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,476.0,2021-11-29 00:00:00,BUY,10.8,5140.8,2021-12-27 00:00:00,SELL,10.75,5117.0,-23.8,-0.46,17.09
harshalk2022,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,324.0,2021-11-29 00:00:00,BUY,10.8,3499.2,2022-01-03 00:00:00,SELL,12.84,4160.16,660.96,18.89,12.71
harshalk2022,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,1.0,2021-11-29 00:00:00,BUY,10.8,10.8,2024-01-18 00:00:00,SELL,40.2,40.2,29.4,272.22,0.08
harshalk2022,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,34.0,2021-11-29 00:00:00,BUY,10.8,367.2,2024-07-04 00:00:00,SELL,63.17,2147.78,1780.58,484.91,4.06
harshalk2022,NSE,EQ,DATAPATTNS,DATA PATTERNS INDIA LTD,LONG,2.0,2021-12-24 00:00:00,BUY,796.0,1592.0,2022-08-12 00:00:00,SELL,832.0,1664.0,72.0,4.52,5.42
harshalk2022,NSE,EQ,EXIDEIND,EXIDE INDUSTRIES LTD,LONG,50.0,2021-12-22 00:00:00,BUY,158.25,7912.5,2021-12-22 16:00:00,SELL,159.3,7965.0,52.5,0.66,26.45
harshalk2022,NSE,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,LONG,200.0,2021-11-29 00:00:00,BUY,9.25,1850.0,2023-09-07 00:00:00,SELL,13.7,2740.0,890.0,48.11,7.58
harshalk2022,NSE,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,LONG,300.0,2021-11-29 00:00:00,BUY,9.25,2775.0,2023-11-20 00:00:00,SELL,23.2,6960.0,4185.0,150.81,15.9
harshalk2022,NSE,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,LONG,100.0,2022-01-21 00:00:00,BUY,22.05,2205.0,2023-11-20 00:00:00,SELL,23.2,2320.0,115.0,5.22,7.53
harshalk2022,NSE,EQ,JPPOWER,JAIPRAKASH POWER VEN. LTD,LONG,20.0,2021-12-20 00:00:00,BUY,4.8,96.0,2022-05-25 00:00:00,SELL,7.0,140.0,44.0,45.83,0.39
harshalk2022,NSE,EQ,JPPOWER,JAIPRAKASH POWER VEN. LTD,LONG,30.0,2021-12-21 00:00:00,BUY,5.0,150.0,2022-05-25 00:00:00,SELL,7.0,210.0,60.0,40.0,0.6
harshalk2022,NSE,EQ,JPPOWER,JAIPRAKASH POWER VEN. LTD,LONG,50.0,2021-12-29 00:00:00,BUY,6.65,332.5,2022-05-25 00:00:00,SELL,7.0,350.0,17.5,5.26,1.14
harshalk2022,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LONG,3.0,2021-11-15 00:00:00,BUY,8.3,24.9,2022-02-28 00:00:00,SELL,12.62,37.86,12.96,52.05,0.1
harshalk2022,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LONG,7.0,2021-11-22 00:00:00,BUY,9.65,67.55,2022-02-28 00:00:00,SELL,12.62,88.34,20.79,30.78,0.26
harshalk2022,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LONG,90.0,2021-11-24 00:00:00,BUY,11.07,996.3,2022-02-28 00:00:00,SELL,12.63,1136.7,140.4,14.09,3.54
harshalk2022,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LONG,900.0,2021-11-29 00:00:00,BUY,12.5,11250.0,2022-02-28 00:00:00,SELL,12.63,11367.0,117.0,1.04,37.67
harshalk2022,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LONG,200.0,2021-11-29 00:00:00,BUY,12.5,2500.0,2022-05-09 00:00:00,SELL,13.83,2766.0,266.0,10.64,8.75
harshalk2022,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LONG,300.0,2021-11-29 00:00:00,BUY,12.5,3750.0,2022-05-09 00:00:00,SELL,14.1,4230.0,480.0,12.8,13.26
harshalk2022,NSE,EQ,PNB,PUNJAB NATIONAL BANK,LONG,2.0,2021-10-26 00:00:00,BUY,45.35,90.7,2021-12-23 00:00:00,SELL,37.95,75.9,-14.8,-16.32,0.28
harshalk2022,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD,LONG,20.0,2021-12-21 00:00:00,BUY,5.2,104.0,2023-11-23 00:00:00,SELL,5.5,110.0,6.0,5.77,0.36
harshalk2022,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD,LONG,10.0,2021-12-22 00:00:00,BUY,4.95,49.5,2023-11-23 00:00:00,SELL,5.5,55.0,5.5,11.11,0.17
harshalk2022,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD,LONG,10.0,2021-12-22 00:00:00,BUY,5.0,50.0,2023-11-23 00:00:00,SELL,5.5,55.0,5.0,10.0,0.17
harshalk2022,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD,LONG,50.0,2021-12-29 00:00:00,BUY,6.05,302.5,2023-11-23 00:00:00,SELL,5.5,275.0,-27.5,-9.09,0.96
harshalk2022,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD,LONG,150.0,2021-12-29 00:00:00,BUY,6.15,922.5,2023-11-23 00:00:00,SELL,5.5,825.0,-97.5,-10.57,2.92
harshalk2022,NSE,EQ,RPOWER,RELIANCE POWER LTD.,LONG,90.0,2022-01-11 00:00:00,BUY,15.3,1377.0,2022-02-21 00:00:00,SELL,14.0,1260.0,-117.0,-8.5,4.4
harshalk2022,NSE,EQ,RPOWER,RELIANCE POWER LTD.,LONG,10.0,2022-01-25 00:00:00,BUY,15.0,150.0,2022-02-21 00:00:00,SELL,14.0,140.0,-10.0,-6.67,0.48
harshalk2022,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,LONG,50.0,2021-12-29 00:00:00,BUY,6.75,337.5,2024-01-18 00:00:00,SELL,10.5,525.0,187.5,55.56,1.42
harshalk2022,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,LONG,50.0,2022-01-03 00:00:00,BUY,7.65,382.5,2024-01-18 00:00:00,SELL,10.5,525.0,142.5,37.25,1.5
harshalk2022,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,LONG,100.0,2022-01-03 00:00:00,BUY,7.7,770.0,2024-01-18 00:00:00,SELL,10.5,1050.0,280.0,36.36,3.01
harshalk2022,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,LONG,300.0,2022-01-06 00:00:00,BUY,7.4,2220.0,2024-01-18 00:00:00,SELL,10.5,3150.0,930.0,41.89,8.88
harshalk2022,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,LONG,6.0,2022-01-06 00:00:00,BUY,7.3,43.8,2024-07-04 00:00:00,SELL,17.12,102.72,58.92,134.52,0.24
harshalk2022,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,LONG,94.0,2022-01-07 00:00:00,BUY,7.45,700.3,2024-07-04 00:00:00,SELL,17.12,1609.28,908.98,129.8,3.78
harshalk2022,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,LONG,100.0,2022-01-07 00:00:00,BUY,7.5,750.0,2024-07-04 00:00:00,SELL,17.12,1712.0,962.0,128.27,4.03
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,13.0,2021-11-26 00:00:00,BUY,99.45,1292.85,2021-11-26 00:00:00,SELL,102.0,1326.0,33.15,2.56,4.36
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,43.0,2021-11-26 00:00:00,BUY,94.05,4044.15,2021-11-26 00:00:00,SELL,102.0,4386.0,341.85,8.45,14.02
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,44.0,2021-11-26 00:00:00,BUY,97.25,4279.0,2021-11-26 00:00:00,SELL,102.0,4488.0,209.0,4.88,14.59
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,6.0,2021-11-26 00:00:00,BUY,97.25,583.5,2021-11-29 00:00:00,SELL,107.2,643.2,59.7,10.23,2.04
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,7.0,2021-11-26 00:00:00,BUY,96.6,676.2,2021-11-29 00:00:00,SELL,107.2,750.4,74.2,10.97,2.37
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,7.0,2021-11-26 00:00:00,BUY,99.2,694.4,2021-11-29 00:00:00,SELL,107.2,750.4,56.0,8.06,2.4
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),SHORT,26.0,2021-11-29 00:00:00,SELL,107.2,2787.2,2021-11-29 00:00:00,BUY,106.0,2756.0,31.2,1.12,9.24
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),SHORT,104.0,2021-11-29 00:00:00,SELL,107.2,11148.8,2021-11-29 00:00:00,BUY,97.65,10155.6,993.2,8.91,35.57
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,40.0,2021-11-29 00:00:00,BUY,106.0,4240.0,2022-05-06 00:00:00,SELL,138.4,5536.0,1296.0,30.57,16.19
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,10.0,2021-12-23 00:00:00,BUY,154.1,1541.0,2022-05-06 00:00:00,SELL,138.4,1384.0,-157.0,-10.19,4.88
harshalk2022,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),LONG,20.0,2021-12-24 00:00:00,BUY,161.8,3236.0,2022-05-06 00:00:00,SELL,138.4,2768.0,-468.0,-14.46,10.04
harshalk2022,NSE,EQ,URJA,URJA GLOBAL LIMITED,LONG,50.0,2021-12-27 00:00:00,BUY,17.0,850.0,2024-03-13 00:00:00,SELL,20.0,1000.0,150.0,17.65,3.07
harshalk2022,NSE,EQ,URJA,URJA GLOBAL LIMITED,LONG,50.0,2022-01-04 00:00:00,BUY,22.8,1140.0,2024-03-13 00:00:00,SELL,20.0,1000.0,-140.0,-12.28,3.58
harshalk2022,NSE,EQ,VIJIFIN,VIJI FINANCE LIMITED,LONG,100.0,2021-12-31 00:00:00,BUY,6.25,625.0,2022-01-10 00:00:00,SELL,5.7,570.0,-55.0,-8.8,1.99
harshalk2022,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,LONG,100.0,2021-11-26 00:00:00,BUY,0.9,90.0,2021-12-03 00:00:00,SELL,1.11,111.0,21.0,23.33,0.33
harshalk2022,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,LONG,100.0,2021-11-26 00:00:00,BUY,0.93,93.0,2021-12-03 00:00:00,SELL,1.11,111.0,18.0,19.35,0.34
harshalk2022,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,LONG,100.0,2021-11-26 00:00:00,BUY,0.94,94.0,2021-12-03 00:00:00,SELL,1.11,111.0,17.0,18.09,0.34
harshalk2022,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,LONG,100.0,2021-11-26 00:00:00,BUY,0.97,97.0,2021-12-03 00:00:00,SELL,1.11,111.0,14.0,14.43,0.35
harshalk2022,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,LONG,300.0,2021-12-02 00:00:00,BUY,1.16,348.0,2022-06-03 00:00:00,SELL,1.4,420.0,72.0,20.69,1.27
